ID;Highly_Unsaturated_and_Phenolic_HighOC_(#);Highly_Unsaturated_and_Phenolic_LowOC_(#);Peptide_like_(#);Polyphenolic_HighOC_(#);Polyphenolic_LowOC_(#);Sugars_w_X_(#);Num.formula_(%);Condensed_aromatics.X_(%);Highly_Unsaturated_and_Phenolic_HighOC_(%);Highly_Unsaturated_and_Phenolic_LowOC_(%);Peptide_like_(%);Polyphenolic_HighOC_(%);Polyphenolic_LowOC_(%);Sugars_w_X_(%);CHON_(#);AveMass;Mass_WeightedAve;HC_WeightedAve;OC_WeightedAve;NC_WeightedAve;NOSC_WeightedAve;AImod_WeightedAve;AI_WeightedAve;Condensed_aromatics.X_(%RA);Highly_Unsaturated_and_Phenolic_HighOC_(%RA);Highly_Unsaturated_and_Phenolic_LowOC_(%RA);Peptide_like_(%RA);Polyphenolic_HighOC_(%RA);Polyphenolic_LowOC_(%RA);Sugars_w_X_(%RA);Polyphenolic_(%RA);Highly_Unsaturated_and_Phenolic_(%RA)
M3T15;257;202;19;6;6;0;490;0;52.4489795918367;41.2244897959184;3.87755102040816;1.22448979591837;1.22448979591837;0;490;448.472737140816;421.146924359089;1.18570011915641;0.533263704250959;0.0545983432508834;0.0446223190981491;0.24587615890595;0.0149690158280296;0;67.0543793788152;31.1635118668967;1.14759779542425;0.291753270402532;0.342757688461344;0;0.634510958863876;98.2178912457119
M8T0;338;295;39;10;14;0;696;0;48.5632183908046;42.3850574712644;5.60344827586207;1.4367816091954;2.01149425287356;0;696;438.728457408046;409.83250800582;1.19309610410436;0.516072345544175;0.0556835473373588;0.00609922899612169;0.25083307633591;0.0226944784752984;0;59.9428291361112;37.3505793592393;1.82277377441384;0.356339500494188;0.527478229741375;0;0.883817730235564;97.2934084953506
M6T30;317;205;20;5;3;0;550;0;57.6363636363636;37.2727272727273;3.63636363636364;0.909090909090909;0.545454545454546;0;550;463.041141978182;428.48338746481;1.18351019125035;0.542645565721076;0.0540474660407291;0.0639233383140176;0.241852642427384;0.0103737009151244;0;72.050212172866;26.6005714581675;0.990661326462802;0.243795023347177;0.11476001915652;0;0.358555042503697;98.6507836310335
M8T90;240;157;16;5;2;0;420;0;57.1428571428571;37.3809523809524;3.80952380952381;1.19047619047619;0.476190476190476;0;420;466.275808511905;436.216855759178;1.18143110970759;0.551622657613355;0.0531188895659363;0.081170874216911;0.237565340449072;0.00753642910915531;0;75.9444304877621;22.6608045792853;0.995733183582441;0.301054819040224;0.0979769303299644;0;0.399031749370189;98.6052350670474
M4T20;335;276;35;4;7;0;657;0;50.9893455098935;42.0091324200913;5.32724505327245;0.60882800608828;1.06544901065449;0;657;456.68439308828;425.659639455983;1.19444502954903;0.523919999523983;0.053745520891934;0.0146315321747466;0.24375115579599;0.0160374061158407;0;63.0415166178718;34.9510320333048;1.55801137700443;0.158137814147901;0.291302157671107;0;0.449439971819008;97.9925486511766
M2T15;301;182;16;4;0;0;503;0;59.8409542743539;36.182902584493;3.18091451292246;0.795228628230616;0;0;503;482.786214908549;449.537143661803;1.18052005621272;0.551698341966035;0.0516240619890518;0.0777488136864374;0.236520872795244;0.0071765054106227;0;76.0986058976823;22.9240400864533;0.786734274079311;0.19061974178509;0;0;0.19061974178509;99.0226459841356
M5T7;53;34;2;1;0;0;90;0;58.8888888888889;37.7777777777778;2.22222222222222;1.11111111111111;0;0;90;466.334962333333;450.842226322547;1.16894335249869;0.564851457879084;0.0513501325344677;0.114809960863009;0.237735401173167;0.0051625382122638;0;81.3953877978837;17.9785031984912;0.460486067973221;0.165622935651889;0;0;0.165622935651889;99.3738909963749
M1T4;313;166;18;6;1;0;505;0.198019801980198;61.980198019802;32.8712871287129;3.56435643564356;1.18811881188119;0.198019801980198;0;505;477.570399051485;446.015406442324;1.17545958108455;0.558252913724059;0.0522460091060729;0.0977842736817317;0.237428924705284;0.0069083574015811;0.036833882288024;77.9193854607354;20.7956666211981;0.903839930260001;0.297560372490906;0.0467137330275604;0;0.344274105518466;98.7150520819335
M4T30;97;73;8;3;0;0;181;0;53.5911602209945;40.3314917127072;4.41988950276243;1.65745856353591;0;0;181;450.84101660221;433.884354168359;1.17730186135849;0.555317472145585;0.0531613925518281;0.092817260588083;0.2387787374935;0.00673016583269969;0;77.8581939990819;20.9896350695609;0.885569101405732;0.266601829951497;0;0;0.266601829951497;98.8478290686428
M2T30;215;119;7;2;0;0;343;0;62.6822157434402;34.6938775510204;2.04081632653061;0.583090379008746;0;0;343;481.770997227405;458.605918642525;1.17308256893377;0.563226227179405;0.0506714755253721;0.10538431200104;0.234490483757827;0.00490382615139253;0;80.847786392942;18.5458207256956;0.488358332394405;0.118034548967911;0;0;0.118034548967911;99.3936071186377
M2T7;172;170;66;2;1;0;411;0;41.8491484184915;41.3625304136253;16.0583941605839;0.48661800486618;0.24330900243309;0;411;460.160953690998;440.452874016331;1.24176963745573;0.52346445118536;0.0516522549922721;-0.0398839701082638;0.211573728122303;0.00957737858606829;0;57.6482336919318;35.660063271192;6.51710232911966;0.123907767307382;0.0506929404491678;0;0.17460070775655;93.3082969631238
M1T30;307;180;21;4;1;0;513;0;59.8440545808967;35.0877192982456;4.09356725146199;0.779727095516569;0.194931773879142;0;513;481.564429939571;448.512389260352;1.18330236558632;0.552228250468809;0.051794320680075;0.076537097391452;0.234582538230791;0.00689551850551761;0;75.8000145911236;22.8886677179523;1.07226321113172;0.197433653854037;0.0416208259383534;0;0.23905447979239;98.6886823090759
